Id,Sex,Age,Height,Weight,Sport
437,1,24,185,76,0
438,1,24,185,76,0
439,1,18,183,73,0
440,1,22,183,73,0
441,1,22,183,73,0
442,1,22,183,73,0
443,1,22,183,73,0
444,1,25,182,75,0
445,1,25,182,75,0
446,1,21,171,71,0
447,0,17,161,53,0
448,0,17,161,53,0
449,1,15,171,71,0
450,1,18,170,65,0
451,1,21,171,71,0
452,1,22,189,79,0
453,1,22,189,79,0
454,1,21,188,74,0
455,1,21,188,74,0
456,1,21,188,74,0
457,0,19,173,63,0
458,0,15,160,54,0
459,0,15,160,54,0
460,0,15,160,54,0
461,0,15,160,54,0
462,0,19,160,54,0
463,0,19,160,54,0
464,1,23,191,82,0
465,0,23,168,56,0
466,0,19,165,53,0
467,0,19,165,53,0
468,0,19,165,53,0
469,0,19,165,53,0
470,0,18,173,73,0
471,0,18,174,58,0
472,0,18,174,58,0
473,0,22,174,58,0
474,0,22,174,58,0
475,0,22,174,58,0
476,0,19,183,70,0
477,0,19,183,70,0
478,0,19,183,70,0
479,0,20,168,57,0
480,0,20,168,57,0
481,0,24,165,59,0
482,1,20,178,65,0
483,0,15,168,55,0
484,0,15,168,55,0
485,1,22,187,68,0
486,1,22,179,66,0
487,1,22,179,66,0
488,1,30,171,71,0
489,1,30,171,71,0
490,0,21,171,71,0
491,0,21,171,71,0
492,0,21,171,71,0
493,0,25,171,71,0
494,0,25,171,71,0
495,0,25,171,71,0
496,1,23,193,95,0
497,1,23,193,95,0
498,0,16,162,53,0
499,0,17,171,71,0
500,0,17,171,71,0
501,1,28,175,64,1
502,1,28,175,64,1
503,1,28,175,64,1
504,1,28,175,64,1
505,1,28,175,64,1
506,1,28,175,64,1
507,1,28,175,64,1
508,1,28,175,64,1
509,1,32,175,64,1
510,1,32,175,64,1
511,1,32,175,64,1
512,1,32,175,64,1
513,1,32,175,64,1
514,1,32,175,64,1
515,1,32,175,64,1
516,1,32,175,64,1
517,1,24,162,57,1
518,1,20,162,57,1
519,1,23,167,64,1
520,1,23,167,64,1
521,1,23,167,64,1
522,1,23,167,64,1
523,1,23,167,64,1
524,1,23,167,64,1
525,1,23,162,57,1
526,1,23,162,57,1
527,1,23,162,57,1
528,1,23,162,57,1
529,1,23,162,57,1
530,1,23,162,57,1
531,1,23,162,57,1
532,1,23,162,57,1
533,1,23,162,57,1
534,1,19,162,57,1
535,1,19,162,57,1
536,1,19,162,57,1
537,1,19,162,57,1
538,1,19,162,57,1
539,1,19,162,57,1
540,1,19,162,57,1
541,1,19,162,57,1
542,1,23,162,57,1
543,1,23,162,57,1
544,1,23,162,57,1
545,1,23,162,57,1
546,1,23,162,57,1
547,1,23,162,57,1
548,1,23,162,57,1
549,1,23,162,57,1
550,1,22,167,63,1
551,1,22,167,63,1
552,1,22,167,63,1
553,1,22,167,63,1
554,1,22,167,63,1
555,0,19,160,48,1
556,0,19,160,48,1
557,0,19,160,48,1
558,0,19,160,48,1
559,0,19,160,48,1
560,0,19,160,48,1
561,0,25,165,55,1
562,0,25,165,55,1
563,0,25,165,55,1
564,0,25,165,55,1
565,0,25,165,55,1
566,0,18,153,48,1
567,0,18,153,48,1
568,0,18,153,48,1
569,0,18,153,48,1
570,0,18,153,48,1
571,1,19,161,62,1
572,1,19,161,62,1
573,1,19,161,62,1
574,1,19,161,62,1
575,1,19,161,62,1
576,1,19,161,62,1
577,1,24,161,62,1
578,1,24,161,62,1
579,1,24,161,62,1
580,1,24,161,62,1
581,1,19,162,57,1
582,1,19,162,57,1
583,1,19,162,57,1
584,1,19,162,57,1
585,1,19,162,57,1
586,1,19,162,57,1
587,1,19,162,57,1
588,1,19,162,57,1
589,1,23,162,57,1
590,1,21,162,57,1
591,1,20,159,64,1
592,1,20,159,64,1
593,1,20,159,64,1
594,1,20,159,64,1
595,1,20,159,64,1
596,1,20,159,64,1
597,1,20,159,64,1
598,0,26,162,57,1
599,0,26,162,57,1
600,0,26,162,57,1
601,0,26,162,57,1
602,0,26,162,57,1
603,0,26,162,57,1
604,0,26,162,57,1
605,0,22,148,46,1
606,0,22,148,46,1
607,0,22,148,46,1
608,0,22,148,46,1
609,0,22,148,46,1
610,0,22,148,46,1
611,0,26,148,46,1
612,0,26,148,46,1
613,0,26,148,46,1
614,0,26,148,46,1
615,0,26,148,46,1
616,0,26,148,46,1
617,0,16,150,40,1
618,0,16,150,40,1
619,0,16,150,40,1
620,0,16,150,40,1
621,1,27,162,57,1
622,1,22,162,57,1
623,1,30,162,57,1
624,1,30,162,57,1
625,1,25,173,64,1
626,1,25,173,64,1
627,1,25,173,64,1
628,1,25,173,64,1
629,1,25,173,64,1
630,1,25,173,64,1
631,1,25,173,64,1
632,1,25,173,64,1
633,1,29,173,64,1
634,1,29,173,64,1
635,1,29,173,64,1
636,1,29,173,64,1
637,1,29,173,64,1
638,1,29,173,64,1
639,1,29,173,64,1
640,1,29,173,64,1
641,0,18,162,56,1
642,0,18,162,56,1
643,0,18,162,56,1
644,0,18,162,56,1
645,0,18,162,56,1
646,0,18,162,56,1
647,0,17,153,38,1
648,0,17,153,38,1
649,0,17,153,38,1
650,0,17,153,38,1
651,0,16,162,56,1
652,0,16,162,56,1
653,0,16,162,56,1
654,0,16,162,56,1
655,0,16,162,56,1
656,0,20,162,56,1
657,0,20,162,56,1
658,0,20,162,56,1
659,0,20,162,56,1
660,0,20,162,56,1
661,0,16,158,48,1
662,0,16,158,48,1
663,0,16,158,48,1
664,0,16,158,48,1
665,0,16,158,48,1
666,0,20,158,48,1
667,0,20,158,48,1
668,0,20,158,48,1
669,0,16,148,40,1
670,0,16,148,40,1
671,0,16,148,40,1
672,0,16,148,40,1
673,0,16,148,40,1
674,0,16,148,40,1
675,1,23,162,57,1
676,1,20,162,57,1
677,0,19,162,57,1
678,1,21,162,57,1
679,1,21,162,57,1
680,1,21,162,57,1
681,1,21,162,57,1
682,1,21,162,57,1
683,1,21,162,57,1
684,1,21,162,57,1
685,1,21,162,57,1
686,1,25,162,57,1
687,1,25,162,57,1
688,1,25,162,57,1
689,1,25,162,57,1
690,1,25,162,57,1
691,1,25,162,57,1
692,1,25,162,57,1
693,1,26,168,67,1
694,1,26,168,67,1
695,1,26,168,67,1
696,1,26,168,67,1
697,1,26,168,67,1
698,1,26,168,67,1
699,1,26,168,67,1
700,1,26,168,67,1
701,1,23,162,57,1
702,1,23,162,57,1
703,1,23,162,57,1
704,1,23,162,57,1
705,1,23,162,57,1
706,1,23,162,57,1
707,1,23,162,57,1
708,1,23,162,57,1
709,1,21,154,53,1
710,1,21,154,53,1
711,1,21,154,53,1
712,1,21,154,53,1
713,1,21,154,53,1
